Date,Average Cost,
2012.10.05,41.23,
2012.10.06,39.99,
2012.10.07,31.99,
2012.10.08,49.18,
2012.10.09,50.19,
2012.10.10,51.77,
2012.10.11,53.51,
2012.10.12,46.54,
2012.10.13,44.16,
2012.10.14,34.11,
2012.10.15,47.63,
2012.10.16,41.72,
2012.10.17,44.56,
2012.10.18,42.39,
2012.10.19,41.21,
2012.10.20,38.52,
2012.10.21,33.24,
2012.10.22,47.66,
2012.10.23,52.97,
2012.10.24,55.02,
2012.10.25,48.81,
2012.10.26,52.40,
2012.10.27,40.98,
2012.10.28,34.17,
2012.10.29,47.70,
2012.10.30,57.96,
2012.10.31,50.17,
2012.11.01,33.04,
2012.11.02,33.56,
2012.11.03,34.47,
2012.11.04,30.95,
2012.11.05,45.77,
2012.11.06,43.58,
2012.11.07,42.78,
2012.11.08,40.48,
2012.11.09,50.93,
2012.11.10,43.87,
2012.11.11,34.71,
2012.11.12,50.66,
2012.11.13,54.99,
2012.11.14,52.20,
2012.11.15,52.63,
2012.11.16,52.94,
2012.11.17,42.83,
2012.11.18,39.90,
2012.11.19,52.01,
2012.11.20,54.26,
2012.11.21,51.86,
2012.11.22,49.91,
2012.11.23,54.14,
2012.11.24,52.20,
2012.11.25,38.75,
2012.11.26,45.18,
2012.11.27,52.69,
2012.11.28,54.74,
2012.11.29,48.53,
2012.11.30,56.09,
2012.12.01,42.71,
2012.12.02,39.08,
2012.12.03,54.58,
2012.12.04,49.45,
2012.12.05,53.64,
2012.12.06,54.57,
2012.12.07,53.78,
2012.12.08,47.99,
2012.12.09,32.64,
2012.12.10,52.61,
2012.12.11,61.78,
2012.12.12,69.34,
2012.12.13,67.85,
2012.12.14,51.21,
2012.12.15,39.28,
2012.12.16,36.28,
2012.12.17,50.87,
2012.12.18,53.38,
2012.12.19,53.28,
2012.12.20,45.27,
2012.12.21,42.07,
2012.12.22,54.41,
2012.12.23,27.70,
2012.12.24,15.61,
2012.12.25,5.26,
2012.12.26,6.71,
2012.12.27,34.89,
2012.12.28,29.65,
2012.12.29,36.30,
2012.12.30,45.12,
2012.12.31,32.25,
2013.01.01,8.61,
2013.01.02,35.73,
2013.01.03,46.00,
2013.01.04,37.78,
2013.01.05,37.35,
2013.01.06,32.22,
2013.01.07,44.96,
2013.01.08,50.67,
2013.01.09,51.60,
2013.01.10,50.76,
2013.01.11,52.97,
2013.01.12,50.17,
2013.01.13,38.99,
2013.01.14,55.08,
2013.01.15,53.90,
2013.01.16,54.49,
2013.01.17,54.89,
2013.01.18,50.16,
2013.01.19,37.98,
2013.01.20,30.27,
2013.01.21,42.95,
2013.01.22,51.20,
2013.01.23,49.74,
2013.01.24,58.71,
2013.01.25,54.22,
